reference,candidate,domain,metric,excluded_machine_type,excluded_section,retained_machine_sections,full_mean_delta,leave_one_out_mean_delta,deviation_from_full,sign_matches_full
B00,B01,target,pauc_max_fpr_0_1,valveEmu,section_00,6,-0.0213533834586466,-0.018596491228070167,0.0027568922305764333,True
B00,B02,all,auc,ToyCar,section_00,6,-0.0018571428571428747,-0.004700000000000019,-0.0028428571428571444,True
B00,B02,all,auc,ToyCarEmu,section_00,6,-0.0018571428571428747,-0.0009333333333333416,0.0009238095238095331,True
B00,B02,all,auc,bearingEmu,section_00,6,-0.0018571428571428747,-0.0023000000000000242,-0.00044285714285714956,True
B00,B02,all,auc,fan,section_00,6,-0.0018571428571428747,-0.0019166666666666776,-5.952380952380294e-05,True
B00,B02,all,auc,gearboxEmu,section_00,6,-0.0018571428571428747,-0.0018500000000000367,7.142857142837956e-06,True
B00,B02,all,auc,sliderEmu,section_00,6,-0.0018571428571428747,-0.0025166666666666857,-0.000659523809523811,True
B00,B02,all,auc,valveEmu,section_00,6,-0.0018571428571428747,0.0012166666666666621,0.003073809523809537,False
B00,B02,all,pauc_max_fpr_0_1,ToyCar,section_00,6,-0.006015037593984933,-0.00587719298245611,0.00013784461152882305,True
B00,B02,all,pauc_max_fpr_0_1,ToyCarEmu,section_00,6,-0.006015037593984933,0.0001754385964912545,0.006190476190476188,False
B00,B02,all,pauc_max_fpr_0_1,bearingEmu,section_00,6,-0.006015037593984933,-0.007192982456140325,-0.0011779448621553916,True
B00,B02,all,pauc_max_fpr_0_1,fan,section_00,6,-0.006015037593984933,-0.0073684210526315614,-0.0013533834586466282,True
B00,B02,all,pauc_max_fpr_0_1,gearboxEmu,section_00,6,-0.006015037593984933,-0.008947368421052593,-0.0029323308270676595,True
B00,B02,all,pauc_max_fpr_0_1,sliderEmu,section_00,6,-0.006015037593984933,-0.007105263157894707,-0.0010902255639097741,True
B00,B02,all,pauc_max_fpr_0_1,valveEmu,section_00,6,-0.006015037593984933,-0.005789473684210493,0.00022556390977444048,True
B00,B02,source,auc,ToyCar,section_00,6,-0.008399999999999947,-0.013066666666666615,-0.004666666666666668,True
B00,B02,source,auc,ToyCarEmu,section_00,6,-0.008399999999999947,-0.009533333333333264,-0.001133333333333316,True
B00,B02,source,auc,bearingEmu,section_00,6,-0.008399999999999947,-0.009399999999999964,-0.0010000000000000165,True
B00,B02,source,auc,fan,section_00,6,-0.008399999999999947,-0.009866666666666616,-0.0014666666666666682,True
B00,B02,source,auc,gearboxEmu,section_00,6,-0.008399999999999947,-0.005733333333333275,0.002666666666666672,True
B00,B02,source,auc,sliderEmu,section_00,6,-0.008399999999999947,-0.009599999999999923,-0.0011999999999999754,True
B00,B02,source,auc,valveEmu,section_00,6,-0.008399999999999947,-0.0015999999999999719,0.006799999999999975,True
B00,B02,source,pauc_max_fpr_0_1,ToyCar,section_00,6,0.0033082706766917286,0.0017543859649122862,-0.0015538847117794424,True
B00,B02,source,pauc_max_fpr_0_1,ToyCarEmu,section_00,6,0.0033082706766917286,0.00421052631578947,0.0009022556390977416,True
B00,B02,source,pauc_max_fpr_0_1,bearingEmu,section_00,6,0.0033082706766917286,0.0049122807017543775,0.001604010025062649,True
B00,B02,source,pauc_max_fpr_0_1,fan,section_00,6,0.0033082706766917286,0.00421052631578947,0.0009022556390977416,True
B00,B02,source,pauc_max_fpr_0_1,gearboxEmu,section_00,6,0.0033082706766917286,0.0021052631578947303,-0.0012030075187969983,True
B00,B02,source,pauc_max_fpr_0_1,sliderEmu,section_00,6,0.0033082706766917286,0.0024561403508772026,-0.000852130325814526,True
B00,B02,source,pauc_max_fpr_0_1,valveEmu,section_00,6,0.0033082706766917286,0.003508771929824563,0.00020050125313283464,True
B00,B02,target,auc,ToyCar,section_00,6,-0.003085714285714255,-0.0047999999999999805,-0.0017142857142857255,True
B00,B02,target,auc,ToyCarEmu,section_00,6,-0.003085714285714255,0.004800000000000036,0.007885714285714291,False
B00,B02,target,auc,bearingEmu,section_00,6,-0.003085714285714255,-0.003533333333333305,-0.00044761904761905,True
B00,B02,target,auc,fan,section_00,6,-0.003085714285714255,-0.003199999999999962,-0.00011428571428570697,True
B00,B02,target,auc,gearboxEmu,section_00,6,-0.003085714285714255,-0.007399999999999972,-0.004314285714285717,True
B00,B02,target,auc,sliderEmu,section_00,6,-0.003085714285714255,-0.003466666666666627,-0.000380952380952372,True
B00,B02,target,auc,valveEmu,section_00,6,-0.003085714285714255,-0.003999999999999976,-0.0009142857142857208,True
B00,B02,target,pauc_max_fpr_0_1,ToyCar,section_00,6,-0.010225563909774424,-0.011929824561403493,-0.0017042606516290693,True
B00,B02,target,pauc_max_fpr_0_1,ToyCarEmu,section_00,6,-0.010225563909774424,-0.002456140350877175,0.007769423558897249,True
B00,B02,target,pauc_max_fpr_0_1,bearingEmu,section_00,6,-0.010225563909774424,-0.012280701754385948,-0.0020551378446115234,True
B00,B02,target,pauc_max_fpr_0_1,fan,section_00,6,-0.010225563909774424,-0.011578947368421041,-0.0013533834586466169,True
B00,B02,target,pauc_max_fpr_0_1,gearboxEmu,section_00,6,-0.010225563909774424,-0.011929824561403493,-0.0017042606516290693,True
B00,B02,target,pauc_max_fpr_0_1,sliderEmu,section_00,6,-0.010225563909774424,-0.011228070175438587,-0.0010025062656641628,True
B00,B02,target,pauc_max_fpr_0_1,valveEmu,section_00,6,-0.010225563909774424,-0.010175438596491226,5.012531328319782e-05,True
